camsid,x0,x1,xbeg,xend,hbeg_radio,hend_radio,fitsfile_with_detection_beg,fitsfile_with_detection_end
714,216.534,275.422,261.637,288.250,100.474,90.440,2020-08-13T03:06:35.8_16B.fits,2020-08-13T03:06:35.8_16B.fits
715,239.539,256.533,244.702,267.282,95.645,83.137,2020-08-13T03:07:20.1_16B.fits,2020-08-13T03:07:20.1_16B.fits
716,196.757,298.184,242.282,284.218,101.986,91.262,2020-08-13T03:07:54.3_14B.fits,2020-08-13T03:07:54.3_14B.fits
718,224.465,268.605,271.315,294.702,104.477,91.128,2020-08-13T03:09:17.9_16B.fits,2020-08-13T03:09:17.9_16B.fits
719,237.072,258.527,250.347,256.798,101.751,98.136,2020-08-13T03:09:23.9_16B.fits,2020-08-13T03:09:23.9_16B.fits
723,203.732,288.312,304.379,329.379,97.167,89.085,2020-08-13T03:11:32.8_15B.fits,2020-08-13T03:11:32.8_15B.fits
724,239.656,256.465,247.927,255.992,100.058,95.349,2020-08-13T03:12:02.0_16B.fits,2020-08-13T03:12:02.0_16B.fits
726,232.548,262.251,249.540,253.573,98.894,97.381,2020-08-13T03:14:08.8_16B.fits,2020-08-13T03:14:08.8_16B.fits
728,232.347,262.159,245.508,266.476,98.061,92.765,2020-08-13T03:14:37.0_15B.fits,2020-08-13T03:14:37.0_16B.fits
729,220.564,272.052,258.411,271.315,98.229,92.972,2020-08-13T03:15:47.4_15B.fits,2020-08-13T03:15:55.5_16B.fits
731,229.283,264.864,253.573,263.250,98.638,94.582,2020-08-13T03:20:16.2_16B.fits,2020-08-13T03:20:16.2_16B.fits
732,208.462,288.464,248.734,285.024,101.583,90.278,2020-08-13T03:21:17.6_15B.fits,2020-08-13T03:21:17.6_15B.fits
735,226.831,266.784,241.476,269.702,103.651,89.662,2020-08-13T03:25:14.2_14B.fits,2020-08-13T03:25:20.2_14B.fits
736,233.682,261.248,254.379,272.121,99.686,89.294,2020-08-13T03:27:09.9_16B.fits,2020-08-13T03:27:09.9_16B.fits
737,235.291,259.933,240.669,264.863,104.561,87.878,2020-08-13T03:30:49.4_16B.fits,2020-08-13T03:30:49.4_16B.fits
